source,target,kind,labels
BREEDING BLANKET,FIRST WALL,Design,
FIRST WALL,BREEDING BLANKET,Design,
BREEDING BLANKET,VACUUM VESSEL,Design,
VACUUM VESSEL,BREEDING BLANKET,Design,
BREEDING BLANKET,WALL COOLING SYSTEM,Design,
WALL COOLING SYSTEM,BREEDING BLANKET,Design,
BREEDING BLANKET,DIVERTOR,Design,
DIVERTOR,BREEDING BLANKET,Design,
BREEDING BLANKET,TRITIUM PROCESSING SYSTEM,Design,
TRITIUM PROCESSING SYSTEM,BREEDING BLANKET,Design,
TF COILS,PF COILS,Design,
PF COILS,TF COILS,Design,
TF COILS,CENTRAL SOLENOID,Design,
CENTRAL SOLENOID,TF COILS,Design,
TF COILS,STABILIZING COILS,Design,
STABILIZING COILS,TF COILS,Design,
TF COILS,CRYOSTAT,Design,
CRYOSTAT,TF COILS,Design,
TF COILS,VACUUM VESSEL,Design,
VACUUM VESSEL,TF COILS,Design,
PF COILS,CENTRAL SOLENOID,Design,
CENTRAL SOLENOID,PF COILS,Design,
PF COILS,VACUUM VESSEL,Design,
VACUUM VESSEL,PF COILS,Design,
PF COILS,CRYOSTAT,Design,
CRYOSTAT,PF COILS,Design,
CENTRAL SOLENOID,CRYOSTAT,Design,
CRYOSTAT,CENTRAL SOLENOID,Design,
CENTRAL SOLENOID,VACUUM VESSEL,Design,
VACUUM VESSEL,CENTRAL SOLENOID,Design,
STABILIZING COILS,VACUUM VESSEL,Design,
VACUUM VESSEL,STABILIZING COILS,Design,
STABILIZING COILS,FIRST WALL,Design,
FIRST WALL,STABILIZING COILS,Design,
VACUUM VESSEL,FIRST WALL,Design,
FIRST WALL,VACUUM VESSEL,Design,
VACUUM VESSEL,DIVERTOR,Design,
DIVERTOR,VACUUM VESSEL,Design,
VACUUM VESSEL,DIAGNOSTICS,Design,
DIAGNOSTICS,VACUUM VESSEL,Design,
VACUUM VESSEL,HEATING SYSTEM,Design,
HEATING SYSTEM,VACUUM VESSEL,Design,
VACUUM VESSEL,FUELING SYSTEM,Design,
FUELING SYSTEM,VACUUM VESSEL,Design,
VACUUM VESSEL,PUMPING SYSTEM,Design,
PUMPING SYSTEM,VACUUM VESSEL,Design,
VACUUM VESSEL,CRYOSTAT,Design,
CRYOSTAT,VACUUM VESSEL,Design,
FIRST WALL,DIVERTOR,Design,
DIVERTOR,FIRST WALL,Design,
FIRST WALL,WALL COOLING SYSTEM,Design,
WALL COOLING SYSTEM,FIRST WALL,Design,
DIVERTOR,PUMPING SYSTEM,Design,
PUMPING SYSTEM,DIVERTOR,Design,
DIVERTOR,WALL COOLING SYSTEM,Design,
WALL COOLING SYSTEM,DIVERTOR,Design,
HEATING SYSTEM,DIAGNOSTICS,Design,
DIAGNOSTICS,HEATING SYSTEM,Design,
HEATING SYSTEM,PLASMA CONTROL SYSTEM,Design,
PLASMA CONTROL SYSTEM,HEATING SYSTEM,Design,
FUELING SYSTEM,PLASMA CONTROL SYSTEM,Design,
PLASMA CONTROL SYSTEM,FUELING SYSTEM,Design,
FUELING SYSTEM,DIAGNOSTICS,Design,
DIAGNOSTICS,FUELING SYSTEM,Design,
DIAGNOSTICS,PLASMA CONTROL SYSTEM,Design,
PLASMA CONTROL SYSTEM,DIAGNOSTICS,Design,
PUMPING SYSTEM,CRYOSTAT,Design,
CRYOSTAT,PUMPING SYSTEM,Design,
WALL COOLING SYSTEM,POWER CONVERSION SYSTEM,Design,
POWER CONVERSION SYSTEM,WALL COOLING SYSTEM,Design,
PLASMA,FIRST WALL,Design,
FIRST WALL,PLASMA,Design,
PLASMA,DIVERTOR,Design,
DIVERTOR,PLASMA,Design,
PLASMA,HEATING SYSTEM,Design,
HEATING SYSTEM,PLASMA,Design,
PLASMA,FUELING SYSTEM,Design,
FUELING SYSTEM,PLASMA,Design,
PLASMA,PLASMA CONTROL SYSTEM,Design,
PLASMA CONTROL SYSTEM,PLASMA,Design,
